GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final,org.example.restaurant.repository,RestaurantRepository,0,143,0,24,0,32,0,23,0,11
final,org.example.restaurant.exception,RestaurantNotFoundException,40,10,2,0,9,4,3,2,2,2
final,org.example.restaurant.exception,ValidationException,65,13,2,0,16,5,5,2,4,2
final,org.example.restaurant.service,RecommendationService,129,828,74,96,30,175,65,45,1,24
final,org.example.restaurant.service,RatingService,171,455,69,83,42,106,59,36,2,17
final,org.example.restaurant.service,PriceAnalyzer.PriceStatistics,35,18,0,0,2,6,1,1,1,1
final,org.example.restaurant.service,BusinessHoursService,59,575,18,102,14,146,15,67,2,20
final,org.example.restaurant.service,PriceAnalyzer,91,487,45,86,27,114,45,40,2,16
final,org.example.restaurant.service,RecommendationService.DistancedRestaurant,0,9,0,0,0,4,0,1,0,1
final,org.example.restaurant.service,InputValidator,290,599,99,137,44,113,80,49,1,10
final,org.example.restaurant.service,RestaurantSearchService,342,810,102,124,72,154,88,71,10,34
final,org.example.restaurant.service,RecommendationService.ScoredRestaurant,0,9,0,0,0,4,0,1,0,1
final,org.example.restaurant.model,Review,0,262,0,36,0,75,0,51,0,33
final,org.example.restaurant.model,Restaurant,20,456,10,68,7,128,13,80,3,51
final,org.example.restaurant.model,UserPreferences,0,302,5,39,0,87,5,47,0,30
final,org.example.restaurant.model,SearchCriteria.SortType,0,39,0,0,0,2,0,1,0,1
final,org.example.restaurant.model,Location,72,138,17,17,16,34,20,17,7,13
final,org.example.restaurant.model,BusinessHours.TimeSlot,11,114,4,22,6,20,7,16,3,7
final,org.example.restaurant.model,SearchCriteria,4,375,1,51,2,119,2,93,1,68
final,org.example.restaurant.model,BusinessHours,73,118,9,15,16,34,10,14,3,9
final,org.example.restaurant.model,MenuItem,97,105,8,20,32,33,21,23,16,14
final,org.example.restaurant.model,CuisineType,0,187,1,7,0,31,1,7,0,4
